Tropical Fruit Skewers,,Lunch - Energy Exemplar
Chef Selection Of Smoothies,,Lunch - Energy Exemplar
"Brioche, Bacon, Pan Fried Free Range Egg, Mort Lake Gruyear","Contains: Gluten, Lactose, Sesame Seeds",Lunch - Energy Exemplar
"Croissant, Humble Pleasures Ham, Victorian Brie","Contains: Gluten, Lactose, Sulphites",Lunch - Energy Exemplar
"Scrambled Egg, Pancetta, Green Tomato Chutney, Brioche Bun","Contains: Gluten, Lactose, Sulphites, Sesame Seeds",Lunch - Energy Exemplar
"Shaved Leg Ham, Mustard Aioli, Iceberg Lettuce, Heirloom Tomato Chutney, Brioche Roll","Contains: Gluten, Lactose, Sulphites, Sesame Seeds",Lunch - Energy Exemplar
"Handmade Rice Paper Rolls, Puffed Tofu, Rice Noodles, Vietnamese Mint, Yum Yum Sauce","Contains: Soy, Sulphites, Sesame Seeds",Lunch - Energy Exemplar
"Orecchiette Pasta, Oveb Dried Tomato, Persian Feta, Salsa Verde Dressing","Contains: Gluten, Lactose, Sulphites",Lunch - Energy Exemplar
Sausage Sizzle Station,"Contains: Gluten, Lactose, Sulphites, Sesame Seeds",Lunch - Energy Exemplar
"Smashed Avocado, Pickled Onion, Chili Oil, Bagel Spice, Mini Bagel","Contains: Gluten, Lactose, Sulphites",Lunch - Energy Exemplar
"Roasted Pork Belly, Hoisin, Cucumber Salad, Chili, Banh Mi Roll","Contains: Shellfish, Fish or Mollusc, Gluten, Sulphites",Lunch - Energy Exemplar
"Ocean Trout, Sushi Rice, Spicy Kewpie, Edamame, Spring Onion, Charred Corn, Ginger","Contains: Soy, Fish, Gluten, Sulphites",Lunch - Energy Exemplar
"Orzo Pasta, Feta, Semi Dried Tomato, Shallots, Olives, Herb Dressing","Contains: Lactose, Sulphites",Lunch - Energy Exemplar
"Roast Carrot, Pistachio, Apricot, Ferro, Whipped Ricotta","Contains: Soy, Sulphites, Sesame Seeds",Lunch - Energy Exemplar
"Beef Pie Floaters, Rapberry Ketchup",Contains: Gluten,Lunch - Energy Exemplar
"Pork And Fennel Sausage Roll, Bush Tomato Chutney","Contains: Gluten, Lactose, Sulphites",Lunch - Energy Exemplar
"Honey Soy Chicken, Shaved Cabbage, Spring Onion, Carrot, Crispy Fried Noodles, Kimchi Aioli","Contains: Soy, Shellfish, Fish or Mollusc, Sulphites, Sesame Seeds",Lunch - Energy Exemplar
"Corned Gippsland Beef, Roasted Capsicum Aioli, Sauerkraut, Swiss Cheese, Rye","Contains: Gluten, Lactose, Sulphites",Lunch - Energy Exemplar
"Wedged Cos Lettuce, Cracked Pepper Dressing, Lardon, Grilled Baguette, Hard Boiled Egg, Parmesan","Contains: Gluten, Lactose, Sulphites",Lunch - Energy Exemplar
"Cous Cous, Green Peas, Pistachios, Apricots, Mint, Fresh Chili, Pressed Olive Oil","Contains: Gluten, Tree Nuts",Lunch - Energy Exemplar
"Parmesan And Spinach Empanadas, Chimichurri","Contains: Soy, Gluten, Lactose, Sulphites",Lunch - Energy Exemplar
"Cornish Beef Pasties, Eggplant And Tomato Relish","Contains: Gluten, Sulphites",Lunch - Energy Exemplar
"Bbq Pulled Chicken Sando, Cabbage Slaw, White Dinner Roll","Contains: Gluten, Sulphites",Lunch - Energy Exemplar
"Vegan Poke Bowl, Compressed Watermelon, Sushi Rice, Ginger, Edamame, Furikake","Contains: Lupins, Soy, Sulphites, Sesame Seeds",Lunch - Energy Exemplar
"Marinated Tomato Salad, Stracciatella, Pomegranate, Victorian Green Leaves, Crispy Shallots, Herb Dressing","Contains: Lactose, Sulphites",Lunch - Energy Exemplar
"Chat Style Potato Salad, Cornichons, Egg, Dill, Mustard Dressing, Candied Salmon",Contains: Fish,Lunch - Energy Exemplar
"Vegemite Jaffles, Romesco Sauce","Contains: Gluten, Tree Nuts, Sulphites",Lunch - Energy Exemplar
