Freshly baked danish ,"Contains: Soy, Gluten, Lactose, Tree Nuts","A Seated Affair, From The Bakery / Beakfast"
Blueberry financiers ,"Contains: Lactose, Tree Nuts","A Seated Affair, From The Bakery / Beakfast"
"Mini bombolinos, nutella filled ","Contains: Soy, Gluten, Lactose, Tree Nuts","A Seated Affair, From The Bakery / Beakfast"
"Bircher muesli, poached rhubarb, vanilla ",,"A Seated Affair, From The Grain Mill / Breakfast"
"Quinoa, coconut milk, passionfruit, roasted almonda ",,"A Seated Affair, From The Grain Mill / Breakfast"
"Homemade granola, berries, organic Great Ocean Road yoghurt",,"A Seated Affair, From The Grain Mill / Breakfast"
"Thick sourdough toast, chili scrambled eggs, cress salad","Contains: Gluten, Lactose","A Seated Affair, From The Hens House / Breakfast"
"Brioche, bacon, pan fried free range egg, torguy gruyere","Contains: Gluten, Lactose, Sulphites","A Seated Affair, From The Hens House / Breakfast"
"Breakfast pizza, heirloom tomatoes, field mushroom, spinach ",,"A Seated Affair, From The Hens House / Breakfast"
Strawberry and dragon fruit skewer ,,"A Seated Affair, From The Orchard / Breakfast"
Freshly squeezed juice ,,"A Seated Affair, From The Orchard / Breakfast"
"Citrus salad, orange gel, lychee cocoa nibs",,"A Seated Affair, From The Orchard / Breakfast"
Seasonal fresh fruit ,,"A Seated Affair, From The Orchard / Breakfast"
"Corn fritters, crushed avocado, persian feta",,"A Seated Affair, From The Pantry / Breakfast"
"Sri Lankan spiced savory donut, coconut chutney ",,"A Seated Affair, From The Pantry / Breakfast"
"Petite croissants, roasted mushrooms, truffle oil, vegan cheese ",,"A Seated Affair, From The Pantry / Breakfast"
"Belgian waffles, vanilla cream, berry compote","Contains: Gluten, Lactose","A Seated Affair, Pastry / Breakfast"
"Warm grilled banana bread, mascarpone, and nutella","Contains: Lactose, Tree Nuts","A Seated Affair, Pastry / Breakfast"
"Slow braised beef cheek, cauliflower puree, rosemary oats, charred broccolini ","Contains: Gluten, Lactose, Sulphites","A Seated Affair, Mains / Lunch & Dinner"
"Chicken, pearly barley risotto, parmesan foam, roasted heirloom carrots ","Contains: Gluten, Lactose, Sulphites","A Seated Affair, Mains / Lunch & Dinner"
"Victorian barramundi, smoked port Arlington mussles, tarragon emulsion, silver beet, sea herbs ","Contains: Fish or Mollusc, Fish, Lactose, Sulphites","A Seated Affair, Mains / Lunch & Dinner"
"Soy glaved pork belly, carrot puree, ginger jus, herb salad ","Contains: Soy, Lactose, Sulphites","A Seated Affair, Mains / Lunch & Dinner"
"Grilled king brown mushrooms, kohlrabi fondant, peas, shiitake, verjus emulsion, native thyme ","Contains: Lactose, Sulphites","A Seated Affair, Mains / Lunch & Dinner"
"Baked Lebanese eggplant, confit cherry tomato, sumac pangrattao, tahina, pomegranate ","Contains: Gluten, Sesame Seeds","A Seated Affair, Mains / Lunch & Dinner"
"Warribee cauliflower, parsnip cream, cocoa nibs, winter herbs, blood orange ",Contains: Lactose,"A Seated Affair, Mains / Lunch & Dinner"
"Roasted kangaroo loin, native juniper jus, braised red cabbage, nasturtiums, chickpea fritters ",Contains: Sulphites,"A Seated Affair, Mains / Lunch & Dinner"
"Heirloom carrots, roasted, curry butter ",Contains: Lactose,"A Seated Affair, Sides / Lunch & Dinner"
"Butter lettuce, buttermilk, chive ",Contains: Lactose,"A Seated Affair, Sides / Lunch & Dinner"
"Roasted kipfler potatoes, garlic, rosemary ",Contains: Lactose,"A Seated Affair, Sides / Lunch & Dinner"
"Charred broccolini, pecorino ",Contains: Lactose,"A Seated Affair, Sides / Lunch & Dinner"
"Green beans, almond, panchetta, pickled lemon ","Contains: Tree Nuts, Sulphites","A Seated Affair, Sides / Lunch & Dinner"
"Slow cooked heirloom tomatoes, thyme, garlic ",,"A Seated Affair, Enhancements / Breakfast"
"Yarra vally mushrooms, XO ","Contains: Soy, Sulphites, Sesame Seeds","A Seated Affair, Enhancements / Breakfast"
"Asparagus, hazelnut butter ",Contains: Tree Nuts,"A Seated Affair, Enhancements / Breakfast"
"Poached free range eggs, corn and coriander fritters, persian feta, whipped avocado, chilli herb salad ",Contains: Lactose,"A Seated Affair, Choice Of Hot / Breakfast"
"Pan fried free range eggs, grilled sourdough bread, Yarra Vally mushrooms, crispy panchetta ",Contains: Gluten,"A Seated Affair, Choice Of Hot / Breakfast"
"Tomato tartine, Gippsland burrata, basil pesto (VG avaliable) ","Contains: Gluten, Lactose, Tree Nuts","A Seated Affair, Choice Of Hot / Breakfast"
"Baked free range eggs, shakshuka style, confit onion, vine ripened tomato, turkish bread ",Contains: Gluten,"A Seated Affair, Choice Of Hot / Breakfast"
"Warmed grilled banana bread, whipped nutella, slow cooked rhubarb ","Contains: Gluten, Lactose, Tree Nuts","A Seated Affair, Choice Of Hot / Breakfast"
"Smoked salmon, croissant, spiced capsicum, snow peas ","Contains: Fish or Mollusc, Gluten, Lactose","A Seated Affair, Choice Of Hot / Breakfast"
"Vegan coconut porridge, acai berries, toasted coconut, cinnamon, blue berry compote ",,"A Seated Affair, Choice Of Hot / Breakfast"
"Slow cooked pulled pork, rosemary english muffin, poached egg, homemade BBQ sauce","Contains: Gluten, Lactose, Sulphites","A Seated Affair, Choice Of Hot / Breakfast"
"French toast, grilled banana, cinnamon ice cream (Add bacon on request)","Contains: Gluten, Lactose","A Seated Affair, Choice Of Hot / Breakfast"
"Passionfruit cheesecake, mango cremeux, mango confit, finger lime caviar ","Contains: Gluten, Lactose, Tree Nuts","A Seated Affair, Desserts / Lunch & Dinner"
"Coffee cr me brulee, milk foam crisp, coffee almond crumble, mascarpone, fig, vincotto ice cream ","Contains: Lactose, Tree Nuts","A Seated Affair, Desserts / Lunch & Dinner"
"Sable tart, hazelnut feuilletine, gianduja caramel, lemon cr me, citrus sponge, textures of meringue ","Contains: Gluten, Lactose, Tree Nuts","A Seated Affair, Desserts / Lunch & Dinner"
"Manjari chocolate mousse, dark chocolate brownie, milk chocolate caramel, caramelized puffed rice, passionfruit ice cream ","Contains: Gluten, Lactose, Tree Nuts","A Seated Affair, Desserts / Lunch & Dinner"
"Green tea matcha financier, ""love tea"" jasmine mousse, mandarin gel, aerated pistachio chocolate","Contains: Gluten, Lactose, Tree Nuts","A Seated Affair, Desserts / Lunch & Dinner"
"Tahitian vanilla mousse, raspberry confit, victorian sparkling rose gel, valrhona raspberry crunch ",Contains: Lactose,"A Seated Affair, Desserts / Lunch & Dinner"
"Slow cooked rhubarb, rhubarb jus, strawberry sorbet, vegan meringue ",,"A Seated Affair, Desserts / Lunch & Dinner"
"Coconut panna cotta, lime crumble, chargrilled pineapple, lemon balm ","Contains: Gluten, Lactose, Tree Nuts","A Seated Affair, Desserts / Lunch & Dinner"
"Gin cured Victorian snapper, beets, citrus gel, bitter leaves ","Contains: Fish, Sulphites","A Seated Affair, Entree / Lunch & Dinner"
"Confit pink trout, pink grapefruit, fennel, ocean herbs, native pepper dressing ","Contains: Fish, Sulphites","A Seated Affair, Entree / Lunch & Dinner"
"Pink roasted kangaroo, mushroom cream, parsnip crisp, watercress","Contains: Lactose, Sulphites","A Seated Affair, Entree / Lunch & Dinner"
"Veal tartare, roasted hazelnut, anchovy toast, cured egg","Contains: Fish, Gluten, Tree Nuts, Sulphites","A Seated Affair, Entree / Lunch & Dinner"
"Tea smoked duck, macadamia granola, cherry gel, swiss chard ","Contains: Tree Nuts, Sulphites","A Seated Affair, Entree / Lunch & Dinner"
"Truffle chicken terrine, leek, guandong, preserved zucchini ",Contains: Sulphites,"A Seated Affair, Entree / Lunch & Dinner"
"Ginger cured watermelon, yuzu gel, seaweed salad, lotus root ",Contains: Sulphites,"A Seated Affair, Entree / Lunch & Dinner"
"Lions' mane mushroom, basil soil, balsamic pearls, pepper meringue ",Contains: Sulphites,"A Seated Affair, Entree / Lunch & Dinner"
"Roasted pumpkin tortelloni, sage, buttermilk, panchetta, kale ","Contains: Gluten, Lactose, Sulphites","A Seated Affair, Extra / Lunch & Dinner"
"Pink roast beef tenderloin, pickled kohlrabi, potato pave, red wine jus ","Contains: Lactose, Sulphites","A Seated Affair, Extra / Lunch & Dinner"
"Poached dory, blackened leek, kohlrabi fondent, Yarra Valley wakame caviar, champagne reduction, sea parsley ","Contains: Fish, Lactose, Sulphites","A Seated Affair, Extra / Lunch & Dinner"
"Moroccan couscous, roast lamb, pomegranate seed, roasted pumpkin, lemon dressing ",Contains: Gluten,"Curate Your Plate, Salad / Dd"
"Black rice, toasted coconut, cranberry, parsley, citrus dressing ",,"Curate Your Plate, Salad / Dd"
