Freshly Baked Danish,"Contains: Soy, Gluten, Lactose, Tree Nuts","A Seated Affair, From The Bakery / Beakfast"
Blueberry Financiers,"Contains: Lactose, Tree Nuts","A Seated Affair, From The Bakery / Beakfast"
"Mini Bombolinos, Nutella Filled","Contains: Soy, Gluten, Lactose, Tree Nuts","A Seated Affair, From The Bakery / Beakfast"
"Bircher Muesli, Poached Rhubarb, Vanilla",,"A Seated Affair, From The Grain Mill / Breakfast"
"Quinoa, Coconut Milk, Passionfruit, Roasted Almonda",,"A Seated Affair, From The Grain Mill / Breakfast"
"Homemade Granola, Berries, Organic Great Ocean Road Yoghurt",,"A Seated Affair, From The Grain Mill / Breakfast"
"Thick Sourdough Toast, Chili Scrambled Eggs, Cress Salad","Contains: Gluten, Lactose","A Seated Affair, From The Hens House / Breakfast"
"Brioche, Bacon, Pan Fried Free Range Egg, Torguy Gruyere","Contains: Gluten, Lactose, Sulphites","A Seated Affair, From The Hens House / Breakfast"
"Breakfast Pizza, Heirloom Tomatoes, Field Mushroom, Spinach",,"A Seated Affair, From The Hens House / Breakfast"
Strawberry And Dragon Fruit Skewer,,"A Seated Affair, From The Orchard / Breakfast"
Freshly Squeezed Juice,,"A Seated Affair, From The Orchard / Breakfast"
"Citrus Salad, Orange Gel, Lychee Cocoa Nibs",,"A Seated Affair, From The Orchard / Breakfast"
Seasonal Fresh Fruit,,"A Seated Affair, From The Orchard / Breakfast"
"Corn Fritters, Crushed Avocado, Persian Feta",,"A Seated Affair, From The Pantry / Breakfast"
"Sri Lankan Spiced Savory Donut, Coconut Chutney",,"A Seated Affair, From The Pantry / Breakfast"
"Petite Croissants, Roasted Mushrooms, Truffle Oil, Vegan Cheese",,"A Seated Affair, From The Pantry / Breakfast"
"Belgian Waffles, Vanilla Cream, Berry Compote","Contains: Gluten, Lactose","A Seated Affair, Pastry / Breakfast"
"Warm Grilled Banana Bread, Mascarpone, And Nutella","Contains: Lactose, Tree Nuts","A Seated Affair, Pastry / Breakfast"
"Slow Braised Beef Cheek, Cauliflower Puree, Rosemary Oats, Charred Broccolini","Contains: Gluten, Lactose, Sulphites","A Seated Affair, Mains / Lunch & Dinner"
"Chicken, Pearly Barley Risotto, Parmesan Foam, Roasted Heirloom Carrots","Contains: Gluten, Lactose, Sulphites","A Seated Affair, Mains / Lunch & Dinner"
"Victorian Barramundi, Smoked Port Arlington Mussles, Tarragon Emulsion, Silver Beet, Sea Herbs","Contains: Fish or Mollusc, Fish, Lactose, Sulphites","A Seated Affair, Mains / Lunch & Dinner"
"Soy Glaved Pork Belly, Carrot Puree, Ginger Jus, Herb Salad","Contains: Soy, Lactose, Sulphites","A Seated Affair, Mains / Lunch & Dinner"
"Grilled King Brown Mushrooms, Kohlrabi Fondant, Peas, Shiitake, Verjus Emulsion, Native Thyme","Contains: Lactose, Sulphites","A Seated Affair, Mains / Lunch & Dinner"
"Baked Lebanese Eggplant, Confit Cherry Tomato, Sumac Pangrattao, Tahina, Pomegranate","Contains: Gluten, Sesame Seeds","A Seated Affair, Mains / Lunch & Dinner"
"Warribee Cauliflower, Parsnip Cream, Cocoa Nibs, Winter Herbs, Blood Orange",Contains: Lactose,"A Seated Affair, Mains / Lunch & Dinner"
"Roasted Kangaroo Loin, Native Juniper Jus, Braised Red Cabbage, Nasturtiums, Chickpea Fritters",Contains: Sulphites,"A Seated Affair, Mains / Lunch & Dinner"
"Heirloom Carrots, Roasted, Curry Butter",Contains: Lactose,"A Seated Affair, Sides / Lunch & Dinner"
"Butter Lettuce, Buttermilk, Chive",Contains: Lactose,"A Seated Affair, Sides / Lunch & Dinner"
"Roasted Kipfler Potatoes, Garlic, Rosemary",Contains: Lactose,"A Seated Affair, Sides / Lunch & Dinner"
"Charred Broccolini, Pecorino",Contains: Lactose,"A Seated Affair, Sides / Lunch & Dinner"
"Green Beans, Almond, Panchetta, Pickled Lemon","Contains: Tree Nuts, Sulphites","A Seated Affair, Sides / Lunch & Dinner"
"Slow Cooked Heirloom Tomatoes, Thyme, Garlic",,"A Seated Affair, Enhancements / Breakfast"
"Yarra Vally Mushrooms, Xo","Contains: Soy, Sulphites, Sesame Seeds","A Seated Affair, Enhancements / Breakfast"
"Asparagus, Hazelnut Butter",Contains: Tree Nuts,"A Seated Affair, Enhancements / Breakfast"
"Poached Free Range Eggs, Corn And Coriander Fritters, Persian Feta, Whipped Avocado, Chilli Herb Salad",Contains: Lactose,"A Seated Affair, Choice Of Hot / Breakfast"
"Pan Fried Free Range Eggs, Grilled Sourdough Bread, Yarra Vally Mushrooms, Crispy Panchetta",Contains: Gluten,"A Seated Affair, Choice Of Hot / Breakfast"
"Tomato Tartine, Gippsland Burrata, Basil Pesto (vg Avaliable)","Contains: Gluten, Lactose, Tree Nuts","A Seated Affair, Choice Of Hot / Breakfast"
"Baked Free Range Eggs, Shakshuka Style, Confit Onion, Vine Ripened Tomato, Turkish Bread",Contains: Gluten,"A Seated Affair, Choice Of Hot / Breakfast"
"Warmed Grilled Banana Bread, Whipped Nutella, Slow Cooked Rhubarb","Contains: Gluten, Lactose, Tree Nuts","A Seated Affair, Choice Of Hot / Breakfast"
"Smoked Salmon, Croissant, Spiced Capsicum, Snow Peas","Contains: Fish or Mollusc, Gluten, Lactose","A Seated Affair, Choice Of Hot / Breakfast"
"Vegan Coconut Porridge, Acai Berries, Toasted Coconut, Cinnamon, Blue Berry Compote",,"A Seated Affair, Choice Of Hot / Breakfast"
"Slow Cooked Pulled Pork, Rosemary English Muffin, Poached Egg, Homemade Bbq Sauce","Contains: Gluten, Lactose, Sulphites","A Seated Affair, Choice Of Hot / Breakfast"
"French Toast, Grilled Banana, Cinnamon Ice Cream (add Bacon On Request)","Contains: Gluten, Lactose","A Seated Affair, Choice Of Hot / Breakfast"
"Passionfruit Cheesecake, Mango Cremeux, Mango Confit, Finger Lime Caviar","Contains: Gluten, Lactose, Tree Nuts","A Seated Affair, Desserts / Lunch & Dinner"
"Coffee Crème Brulee, Milk Foam Crisp, Coffee Almond Crumble, Mascarpone, Fig, Vincotto Ice Cream","Contains: Lactose, Tree Nuts","A Seated Affair, Desserts / Lunch & Dinner"
"Sable Tart, Hazelnut Feuilletine, Gianduja Caramel, Lemon Crème, Citrus Sponge, Textures Of Meringue","Contains: Gluten, Lactose, Tree Nuts","A Seated Affair, Desserts / Lunch & Dinner"
"Manjari Chocolate Mousse, Dark Chocolate Brownie, Milk Chocolate Caramel, Caramelized Puffed Rice, Passionfruit Ice Cream","Contains: Gluten, Lactose, Tree Nuts","A Seated Affair, Desserts / Lunch & Dinner"
"Green Tea Matcha Financier, ""love Tea"" Jasmine Mousse, Mandarin Gel, Aerated Pistachio Chocolate","Contains: Gluten, Lactose, Tree Nuts","A Seated Affair, Desserts / Lunch & Dinner"
"Tahitian Vanilla Mousse, Raspberry Confit, Victorian Sparkling Rose Gel, Valrhona Raspberry Crunch",Contains: Lactose,"A Seated Affair, Desserts / Lunch & Dinner"
"Slow Cooked Rhubarb, Rhubarb Jus, Strawberry Sorbet, Vegan Meringue",,"A Seated Affair, Desserts / Lunch & Dinner"
"Coconut Panna Cotta, Lime Crumble, Chargrilled Pineapple, Lemon Balm","Contains: Gluten, Lactose, Tree Nuts","A Seated Affair, Desserts / Lunch & Dinner"
"Gin Cured Victorian Snapper, Beets, Citrus Gel, Bitter Leaves","Contains: Fish, Sulphites","A Seated Affair, Entree / Lunch & Dinner"
"Confit Pink Trout, Pink Grapefruit, Fennel, Ocean Herbs, Native Pepper Dressing","Contains: Fish, Sulphites","A Seated Affair, Entree / Lunch & Dinner"
"Pink Roasted Kangaroo, Mushroom Cream, Parsnip Crisp, Watercress","Contains: Lactose, Sulphites","A Seated Affair, Entree / Lunch & Dinner"
"Veal Tartare, Roasted Hazelnut, Anchovy Toast, Cured Egg","Contains: Fish, Gluten, Tree Nuts, Sulphites","A Seated Affair, Entree / Lunch & Dinner"
"Tea Smoked Duck, Macadamia Granola, Cherry Gel, Swiss Chard","Contains: Tree Nuts, Sulphites","A Seated Affair, Entree / Lunch & Dinner"
"Truffle Chicken Terrine, Leek, Guandong, Preserved Zucchini",Contains: Sulphites,"A Seated Affair, Entree / Lunch & Dinner"
"Ginger Cured Watermelon, Yuzu Gel, Seaweed Salad, Lotus Root",Contains: Sulphites,"A Seated Affair, Entree / Lunch & Dinner"
"Lions' Mane Mushroom, Basil Soil, Balsamic Pearls, Pepper Meringue",Contains: Sulphites,"A Seated Affair, Entree / Lunch & Dinner"
